Player,Position,WT,Team,Conference,NBA_Draft_Status,Allstar_year,Life_Event,Event_date,PM_monthprev,PM_monthafter
Kevin Love,FC,251,Cleveland Cavaliers,Eastern ,2008 Rnd 1 Pick 5,,Null,,,
Kyle Lowry,PG,196,Toronto Raptors,Eastern ,2006 Rnd 1 Pick 24,Yes,Birth,7/15/2015,-2,5.8
Paul Millsap,FC,246,Atlanta Hawks,Eastern ,2006 Rnd 2 Pick 17,,Null,,,
Isaiah Thomas,PG,185,Boston Celtics,Eastern ,2011 Rnd 2 Pick 30,Yes,Married,8/19/2016,0.9,-1.1
Isaiah Thomas,PG,185,Boston Celtics,Eastern ,2011 Rnd 2 Pick 30,No,Birth,1/29/2012,-3.3,2.5
Kemba Walker,G,184,Charlotte Hornets,Eastern ,2011 Rnd 1 Pick 9,,Null,,,
John Wall,PG,210,Washington Wizards,Eastern ,2010 Rnd 1 Pick 1,,Null,,,
Chris Bosh,PF,235,Miami Heat,Eastern ,2003 Rnd 1 Pick 4,Yes,Married,7/16/2011,11.2,7.8
Chris Bosh,PF,235,Miami Heat,Eastern ,2003 Rnd 1 Pick 4,Yes,Birth,5/3/2012,6.4,6.1
Chris Bosh,PF,235,Miami Heat,Eastern ,2003 Rnd 1 Pick 4,Yes,Birth,11/2/2008,8.5,-2.1
Chris Bosh,PF,235,Miami Heat,Eastern ,2003 Rnd 1 Pick 4,Yes,Birth,11/4/2013,-2.5,6.1
Andre Drummond,C,279,Detroit Pistons,Eastern ,2012 Rnd 1 Pick 9,,Null,,,
Pau Gasol,FC,250,Chicago Bulls,Eastern ,2001 Rnd 1 Pick 3,,Null,,,
Al Horford,FC,245,Atlanta Hawks,Eastern ,2007 Rnd 1 Pick 3,Yes,Birth,2/23/2015,9.3,-1.5
Al Horford,FC,245,Atlanta Hawks,Eastern ,2007 Rnd 1 Pick 3,No,Married,7/16/2011,-8.7,4.3
Dwyane Wade,SG,220,Miami Heat,Eastern ,2003 Rnd 1 Pick 5,Yes,Divorced,6/25/2010,7.3,0.8
Dwyane Wade,SG,220,Miami Heat,Eastern ,2003 Rnd 1 Pick 5,Yes,Birth,5/29/2007,-2.8,-1
Dwyane Wade,SG,220,Miami Heat,Eastern ,2003 Rnd 1 Pick 5,Yes,Married,8/30/2014,-12,0.8
Dwyane Wade,SG,220,Miami Heat,Eastern ,2003 Rnd 1 Pick 5,Yes,Birth,11/10/2013,2,4.4
LaMarcus Aldridge,FC,260,San Antonio Spurs,Western ,2006 Rnd 1 Pick 2,Yes,Birth,7/31/2011,2.8,5.7
LaMarcus Aldridge,FC,260,San Antonio Spurs,Western ,2006 Rnd 1 Pick 2,No,Birth,4/1/2009,7.7,5.2
Kobe Bryant,SG,212,Los Angeles Lakers,Western ,1996 Rnd 1 Pick 13,Yes,Married,4/18/2001,8.7,8.6
Kobe Bryant,SG,212,Los Angeles Lakers,Western ,1996 Rnd 1 Pick 13,Yes,Birth,1/19/2003,-0.9,8.7
Kobe Bryant,SG,212,Los Angeles Lakers,Western ,1996 Rnd 1 Pick 13,Yes,Birth,5/1/2006,12.6,3
Chris Paul,PG,175,Los Angeles Clippers,Western ,2005 Rnd 1 Pick 4,Yes,Married,9/10/2011,-0.4,10.8
Chris Paul,PG,175,Los Angeles Clippers,Western ,2005 Rnd 1 Pick 4,Yes,Birth,5/23/2009,0.7,-3.8
Chris Paul,PG,175,Los Angeles Clippers,Western ,2005 Rnd 1 Pick 4,Yes,Birth,8/16/2012,3.8,3.6
Kyle Korver,SF,212,Atlanta Hawks,Eastern,2003 Rnd 2 Pick 22,No,Married,8/10/2011,5.4,1.3
Kyle Korver,SF,212,Atlanta Hawks,Eastern,2003 Rnd 2 Pick 22,No,Birth,12/5/2012,4.2,2.3
Kyle Korver,SF,212,Atlanta Hawks,Eastern,2003 Rnd 2 Pick 22,No,Birth,10/5/2013,0.2,2.3
Kyle Korver,SF,212,Atlanta Hawks,Eastern,2003 Rnd 2 Pick 22,No,Birth,11/6/2016,3,-7.5
Jeff Teague,PG,186,Atlanta Hawks,Eastern,2009 Rnd 1 Pick 19,,Null,,,
Tim Duncan,FC,250,San Antonio Spurs,Western,1997 Rnd 1 Pick 1,Yes,Married,7/21/2001,10.9,7.5
Tim Duncan,FC,250,San Antonio Spurs,Western,1997 Rnd 1 Pick 1,No,Divorced,8/21/2013,3,5.8
Tim Duncan,FC,250,San Antonio Spurs,Western,1997 Rnd 1 Pick 1,Yes,Birth,8/10/2005,2.3,8.4
Tim Duncan,FC,250,San Antonio Spurs,Western,1997 Rnd 1 Pick 1,Yes,Birth,8/10/2005,2.3,8.4
Blake Griffin,PF,251,Los Angeles Clippers,Western,2009 Rnd 1 Pick 1,Yes,Birth,8/10/2013,5.3,6.1
Blake Griffin,PF,251,Los Angeles Clippers,Western,2009 Rnd 1 Pick 1,No,Birth,9/22/2016,14.6,12.6
Damian Lillard,G,195,Portland Trail Blazers,Western,2012 Rnd 1 Pick 6,,Null,,,
Dirk Nowitzki,PF,245,Dallas Mavericks,Western,1998 Rnd 1 Pick 9,No,Married,7/20/2012,6.3,-12
Dirk Nowitzki,PF,245,Dallas Mavericks,Western,1998 Rnd 1 Pick 9,Yes,Birth,3/24/2015,2.5,8.6
Dirk Nowitzki,PF,245,Dallas Mavericks,Western,1998 Rnd 1 Pick 9,No,Birth,11/11/2016,-1,-9.8
Dirk Nowitzki,PF,245,Dallas Mavericks,Western,1998 Rnd 1 Pick 9,Yes,Birth,7/1/2013,4.8,3.6
Dwight Howard,C,265,Houston Rockets,Western,2004 Rnd 1 Pick 1,Yes,Birth,11/18/2007,12.6,0.5
